"Title","When Lost","Where Lost","Builder","Owner","Master","Sinking","Found","Beam","Bearing to Bow","Cargo","Chart Number","Comments","Confidential","Country Built","Crew","Date Inspected","Deaths","Draft","Engine","File Number","Found","Inspected","Latitude Max","Latitude Min","Length","Length of site","Longitude Max","Longitude Min","Minimum Depth of site","Official Number","Port Built","Port From","Port Registered","Port To","Position Information","Protected","Sources","Sunk Code","TONA","TONB","When Built","Unique Number","Construction","Industry1","Industry2","Type","Region"
"Emma","1878/03/04","Forestier Islands","","","","","N","","","Shell","","","NO","Unknown","","","","","N","443/71","N","N","","","","","","","","","","","","","","Protected Federal","","Wrecked and sunk","8.00","","","179","Wooden","","","Shipwreck","North West (Port Hedland Area)"
"Emogene","1966/08/28","Lancelin","","","S. Lichfield","Smashed up when tied up to jetty","N","","","","A 753","Co-ordinates 10' off/box","NO","","","","","","N","118/80","N","N","","","","","","","","","","","","","","Protected Federal","","","","","","190","","Fisheries","","Shipwreck","Mid-West (Jurien Bay)"
"Empire Grassland","1947/01/18","North of Carnarvon","Fleming & Ferguson Ltd., Paisley","Melbourne Harbour Trust","","Missing while tow abandoned by sister ship off Carnarvon","N","10.10","","","1055. 1056","ABANDONED TOW.
HOPPER BARGE ARRIVES.
Line Parts in High Seas.
The story of the unsuccessful attempt by the hopper barge Empire Downland to tow a sister ship, the Empire Grassland through heavy weather in the
Indian Ocean was told at Fremantle yesterday when the Empire Downland arrived from Carnarvon. The Empire Grassland broke her tow when about 80 miles north of Carnarvon, and the Empire Downland had to leave her and proceedto Carnarvon to replenish her supplies of fuel, water and stores. Subsequently a search by the Empire Downland and by aircraft was fruitless, and the Empire Grassland is now presumed to have foundered.
The two vessels, which were intended for use by the Melbourne Harbour Trust left Singapore on December 20. They called at Christmas Island for fuel, and left there on December 27 with enough fuel to take them to Shark Bay. However,
very heavy weather was experienced and at the height of it the tow carried away and the Empire Downland had to wait for four days until the seas moderated enough for a new tow to be rigged. By that time the Empire Downland did not
have enough fuel to take her, with the other barge in tow, as far as Carnarvon. It was therefore decided o run for the lee of North-West Cape, where fuel was transferred from the Empire Grassland to the Empire Downland. Once again heavy weather upset the plans, the tow again parting. The Empire Downland then had to go alone to Carnarvon, and nothing more has been seen of the Empire Grassland. It was said yesterday that at no time during the trip had there been any crew aboard the Empire Grassland. The Empire Downland. under
the command of Capt. C. Fraser, carries a crew of 20, most of whom were formerly members of the crew of the steamer Panamanian, five of them being West Australians. Two triple-expansion steam engines drive the Empire Downland at a speed of about nine knots. Repairs to one of them will keep the vessel at Fre mantle for several days.
The hopper barge Empire Downland which left Singapore late in
December, 1946, with the barge Empire Grassland in tow, arrived
at Fremantle yesterday. When about 70 miles off Carnarvon she
abandoned the tow as her fuel and supplies were running low.
Aerial and surface searches have failed to locate the Empire
Grassland and she is now presumed lost.
(West Australian 28/1/1947 p.8)
Lat. and long. estimated when abandonend 23°28 and 113°03 In tow of Empire Downland. Valued at 75,000 pounds.
Possibly shipwreck site off Cape Inscription, Dirk Hartog Island identified incorrectly as HMAS Sydney in 2007.","NO","UK","","","","","2 triple expansion steam engines","445/71","N","N","","","50.90","","","","","","Paisley","Singapore","","Melbourne","","Protected Federal","Northern Times, Fri Jan. 24, 1947, page 2 (d, e) Northern Times, Fri. Jan. 31, 1947, page 1 (d, e) I.J. Field Steam Vessel file
West Australian 28 January 1947 p.8","Abandoned","683.00","","1945","1156","Steel","Services","port services","Shipwreck","Mid-West (Shark Bay)"
"Empress","1849/06/22","Fremantle South, Woodmans Point","","","","","N","5.80","","","","","NO","WA","","","","3.00","N","","N","N","","","22.00","","","","","40467","","","Fremantle","","","Protected Federal","","Scuttled","114.00","","1840","180","Wooden","","","Shipwreck","Metro (Cockburn Sound)"
"Empress","1894/01/09","Cossack, Butcher Inlet","Robert Howson","Anderson, North West Australian Mercantile Co., Roebourne.
Chi and Company","","During a cyclone","N","3.40","","Pearl shell","","1889: Built at Fremantle
1890 Feb 21: First registered as No 3 of 1890 at Fremantle to North West Australian Mercantile Co, Roebourne
'Register closed 19/8/1986 by virtue of Section 92 (4) of the Shipping Registration Act 1981 - no trace of vessel or owner found.
[Note in pencil: Sub-Collector of Customs at Cossack reports on 16/6/1913 vessel still  engaged out of Cossack and NW coast on pearling]'
[British Register of Shipping, Fremantle] (Gregg et al 2012)
in 1890 the Empress was registered to Anderson of the North West Australian Mercantile Co., Roebourne., though the Inquirer of 8 January 1890 p5c records the owners as Chi and Company (Cairns and Henderson 1995: 153).","NO","WA","","","2","1.50","N","116/80","N","N","","","11.30","","","","","95366","Fremantle","","Fremantle","","","Protected State","Cairns, L. & Henderson, G., 1995. Unfinished voyages: Western Australian shipwrecks 1881-1900, University of Western Australia Press, Nedlands: 153.
Inquirer 18 December 1889 p.7a
Inquirer 10 January 1890 p.4g
Inquirer 8 January 1890 p.5c
West Australian 6 January 1890 p.3c
Inquirer 15 January 1890 p.5a, e
West Australian, 27 January 1894.
Vessel record #13392 in Gregg et al; Maritime History Research Database, WA Museum; accessed 11/7/2012","Wrecked and sunk","13.00","","1889","689","Wooden","Fisheries","pearling","Refloated","North West (Port Hedland Area)"
"Emu","1925/07/28","Port Gregory","","Mark Margetic","Mark Margetic","","N","","","",""," e Emu was a fishing boat owned by Marko Marchetti also known as Marko Margetic. The Police Department Correspondence refers to him by both names and state that he was either an Austrian or Jugoslav, naturalized. He was 52 years old at the time of the wrecking. Burns (1978) names him as ‘Marko Margetic’.
THE LOSS
Margetic was attempting to sail out of Port Gregory through the ‘narrow passage’ as it was closer than the ‘wider passage’. That is, he was attempting to sail through Gold Digger Passage rather than heading further north to the wider Hero Passage. The wind dropped while he was only a boat’s length from the reef. As he went to drop the anchor, a westerly scud struck the vessel. This combined with the incoming tide drove the stern of the vessel onto the reef where it was severely damaged. The Emu sank but Margetic managed to get into his dinghy and was able to get ashore safely.
INITIAL SALVAGE
Nothing was salvaged from the Emu.","NO","","","","","","N","117/80","N","N","","","1.60","","","","","","","","","","","Protected Federal","Worsley, P. and J., with Totty, D., 2008. A Windswept Coast: WA Maritime Heritage between the Moore River and the Zuytdorp Cliffs. Special Publication No. 12. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.A.C. Burns
SRO 1925/5554","","","","","1164","","","","Shipwreck","Mid-West (Geraldton)"
"Enchantress","1874/08/15","New Island, Brecknock Harbour","White","Australian Fishing Company","","Hit a reef","N","7.20","","Shell","","By the early 1870s, there were some eighty to a hundred small vessels pearling out
of Cossack and other anchorages to the west. In 1872, Roebourne Resident
Magistrate Robert Sholl reported that there were thirty-one 'ships' and fifty-two 'boats'
employed, and that the vessels ranged from 1 to 56 tons, the average being 10 tons.
(Sholl 1872, C.S.O. 714, fol.17) The fifty-two 'boats' were dinghies. The smaller
vessels could not stay at sea in heavy weather, and in 1873, the Inquirer saw the
number of shipwrecks as suggesting:
...the necessity of the early appointment of an official to see that the numerous
coasting craft are fit to proceed to sea, and that, moreover, they are properly
provisioned and in the charge of competent seamen. The recent lamentable
loss of life connected with our pearl shell fishery, and the way in which the
boats employed in it are almost without exception manned, calls for the prompt
attention of the Government (Inquirer 11/06/1873).
Bigger 'ships' were, however, being dispatched from the other pearling centres in
Queensland and overseas. Two such vessels were the schooners Flower of Yarrow
and Enchantress. Their owners, however, were not content to restrict themselves to
the well known pearling grounds around Cossack.
In 1872, the Australian Fishing Company was floated in London, and these two
yachts were fitted out in England to engage in the industry in North West Australia
(Streeter 1886:160). Ample capital was available. Lieutenant Ross, R.N. (perhaps
one of the family from Melbourne who had been members of the abortive Camden
Harbour Pastoral Association in 1863), was contracted for three years, and twentyeight
crewmen were said to have been specially chosen from the English fishing
fleets (Bain 1982:74). In his prospectus, the promoter estimated that each diver could
bring up 100 shells in an hour, an extreme exaggeration.
The 150-ton Flower of Yarrow, commanded by Lieutenant Ross, called at Fremantle,
en route from London to the North-West, in March 1874. The Flower of Yarrow,
which had formerly belonged to the Royal Yacht Squadron, carried two 21-pounder
Armstrong guns and had on board a steam launch capable of accommodating
twenty-eight passengers (a boon in heavy tidal waters) (Perth Gazette 20/03/1874).
She also carried equipment for conducting pearling operations on an extensive scale,
and was said to have an auxiliary steam engine (Parsons 1974:12).
The Flower of Yarrow sailed north to join the twenty-nine-year-old Enchantress,
which came to the North West via Singapore, where she had called to recruit divers.
The two vessels apparently commenced shelling as far north as Darwin, and
148
gradually worked down the coast toward Camden Sound and King Sound (Inquirer
03/03/1875). They were finding abundant good-quality shell.
Lieutenant Ross would have been made aware by Robert Sholl or others, of the
presence of shell around Brecknock Harbour. Sholl had spent some time there in
1864 after the wreck of the Calliance, and John McCourt had collected a small
quantity of shell there in 1869 with the schooner Argo (Scholl 1869, C.S.O. 697,
fol.146). The Enchantress was filled with shell, and when the news of this success
reached Roebourne, Sholl predicted that most of the larger vessels would leave
Exmouth Gulf to try to link up with Lieutenant Ross' fleet (Scholl 1874, C.S.O.782,
fol.192).
Disaster struck for the Australian Fishing Company when the Enchantress hit a reef
off Champagny Island on 15 August. The vessel managed to reach Brecknock
Harbour, where she became a complete wreck (Parsons 1980). Then, in
confrontations between the crew and the local Aborigines one European crewman,
one Malay crewman and eight Aborigines were killed. Newspaper reports of the time
mention ‘a sanguiny battle with natives, killed and wounded on both sides’ and that
the ship was a complete wreck. The Aboriginal people concerned could have been
the Worora (Silvester 1998)
Lieutenant Ross had the Enchantress broken up to retrieve her copper fastenings
(Inquirer 03/03/1875) but the pearling project was a failure, and the Flower of Yarrow
was sold (Henderson, G & Henderson, K.J. 1988:150).
Site Description
While the wreck has not been positively identified, It seems likely that the
Enchantress was beached at New Island, located in the entrance to Brecknock
Harbour. This area also has a freshwater spring. Several expeditions from the
Western Australian Museum have seen wreck material there. In 1963, Ian Crawford
found heavy brass pipes, pieces of iron, broken china and a part of a compass
(Crawford 1968:79), and in 1978, Scott Sledge found iron deck supports, bricks and
lead piping (Sledge 1979:39).
(Souter 2009: 145-148)","NO","UK","14","","","3.40","N","113.80","N","N","","","30.70","","","","","25133","Cowes","Darwin","London","Cossack","","Protected Federal","Robert Sholl, Fisheries Report, January 1872, C.S.R. 714, fol. 17
Robert Sholl to Col. Sec., Roebourne, 30 December 1869, C.S.O. 697, fol.146.
Sholl to Col. Sec., Roebourne, 19 December 1874, C.S.O.782, fol.192.
Inquirer, 11 June 1873
Inquirer, 3 March 1875
Lloyds Shipping Register, 1874
Henderson, G & Henderson, K.J. 1988 Unfinished Voyages Western Australian Shipwrecks 1851-1880, University of Western Australia Press, Nedlands.
Streeter, E. 1886 Pearls and Pearling Life George Bell and Sons, London, p.160.
Bain, Mary Albertus 1982 Full Fathom Five Artlook. Perth, p.74.
Perth Gazette , 20 March 1874.
Parsons, R. 1974 The Pearling Fleet in Western Australia, in Kerr , G. (ed.), Australian and New Zealand Sail Traders Blackwood, South Australia, p.12.
Crawford, I 1968 The Art of the Wandjina Oxford University Press/Western Australian Museum Melbourne, p.79.
Sledge, S. 1978 Report of Wreck Inspection North Coast (W.I.N.C.), Report—Department of Maritime Archaeology, Western Australian Maritime Museum, No. 11.
Loney, J. 1994 Wrecks on the WA Coast
NT Times and Gazette Sat 31 Oct 1874 p.3
Souter 2009 Significant values of the Kimberley region historic shipwreck resource Vol1: Located shipwrecks, Report-Department of Maritime Archaeology, WA Museum, No. 244.","Wrecked and sunk","171.00","","1846","186","Wooden","Fisheries","pearling","Shipwreck","North West (Bonaparte Archipelago)"
"Enchantress","1888","Swan River","","","","","N","3.90","","","","","NO","WA","","","","1.70","ONE, 50 HP","376/77","N","N","","","27.60","","","","","","Perth","","","Swan River","","Protected State","","Unknown","30.00","","1875","187","Wooden","","","Shipwreck","Metro (Swan R)"
"Endeavour","1917/03/28","Near Banningarra Creek, Broome","W.A. Chamberlain","F. Biddles, Fremantle and J. W. Tilly, Broome","Diver in Charge","Capsised off shore","N","4.50","","","1207, 1048, 325","","NO","WA","8","","6","1.70","N","3/79","N","N","-20.0333333333","","15.10","","119.6833333333","","","117813","Fremantle","","Fremantle","","","Protected Federal","HMC 140a/4 McKenna Collection 682
SRO 430 ITEM 1917/1535 Police Dept Broome","Foundered","12.12","15.00","1903","1486","Wooden","Fisheries","pearling","Shipwreck","North West (Eighty Mile Beach Area)"
"Endeavour PS","1880/06/03","North Fremantle, Banangarra Creek","Robert Wrightson","Godfrey Knight","","North-west gale","N","5.70","","General","","","NO","WA","","","","1.80","Paddle steamer","3/79","N","N","","","23.20","","","","","75295","Fremantle","Ship","Fremantle","Perth","","Protected Federal","Western Australian Times, 6 February 1877
Inquirer, 9 June 1880","Foundered","31.00","","1877","188","Wooden","Services","cargo - coastal","Shipwreck","Metro North"
"Enid","1945","","","","","","N","223.00","","","","","NO","SA","","","","78.00","N","","N","N","","","1315.00","","","","","118501 (?)","Ayr","","Carnarvon","","","Protected Federal","","","45.00","267.00","1903","189","Steel","","","Shipwreck","Unknown"
"Enid","1927/1928","Broome area","","","C. Kruger","Lost","N","","","","1207, 1048","","NO","","","","10","","N","3/79","N","N","","","","","","","","13169 (118516 RD)","","Broome","","Fremantle","","Protected Federal","Dickson, R.,1996 Ships Registered in Western Australia from 1856: their details, their owners and their fate. Report—Department of Maritime Archaeology, Western Australian Maritime Museum, No.80.
British Register of Shipping, Fremantle","","12.00","","","672","","Fisheries","pearling","Shipwreck","North West (Broome Area)"
"Enterprise","1912/03/21","Driven ashore Depuch Island","","Whim Well Copper Mine Ltd.","Nikolas Papastatis","Smashed to pieces during cyclone","N","","","Copper Ore","1055, 326","Lighter","NO","","7","","","","N","","N","N","","","","","","","","","","","NSW","","","Protected Federal","SRO 430 ITEM 1912/1727 Storm on NW Coast Telegram Roebourne 29/03/1912
West Australian 1912/03/25 p. 7d-
The Northern Times 1912/03/26, p. 2d-g 1887 Enterprise","Wrecked and sunk","83.00","","","117","","Services","port services","Shipwreck","North West (Port Hedland Area)"
"Enterprise","1857","Flinders Bay","","","","","N","","","","","
In 1802 the French sealing schooner L’Enterprise or Le Entreprize (90 tons, Captain Alexander Le Corre) suffered such severe damage in a gale off Cape Leeuwin that it was lucky to survive. It sailed to Sydney for repairs, and subsequently went sealing in Bass Strait where, on 27 October 1802, it was driven by a gale onto rocks off Southern Sister Island near Flinders Island and was wrecked. Captain Le Corre and eight of the crew were drowned. It is possible that a spar or spars, along with at least part of a name board, were either lost in the initial gale which damaged the L’Enterprise, or were carried by the currents and winds from the wreck site in Bass Strait. Perhaps it was a spar from this vessel which was later picked up and used by the crew of the Congress to make a jibboom.
Nothing is known of the loss of a vessel named Enterprise in Flinders Bay. However the log of the whaler Congress makes it quite clear that the captain was of the opinion that some mishap had occurred to a brig of that name.","NO","Unknown","","","","","N","381/77","N","N","","","","","","","","","","Liverpool?","Liverpool","","","Protected Federal","Worsley, P. and J. with Green, J., (2012). Capes of Sunset: Western Australia’s Maritime Heritage between Peel Inlet & Flinders Bay. Special Publication. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.","Wrecked and sunk","","","","192","Wooden","","","Shipwreck","SW Coast (Augusta)"
"Enterprise","1945/02","North of Rottnest Island, Graveyard","W. & S. Lawrence","The Swan River Shipping Coy. Ltd., Lightumen","","","N","5.90","","","334, 1033","Position of scuttling: 32° 03 – 115° 21
Barge","NO","WA","","","","2.10","","445/71","N","N","","","22.30","","","","","120010","Perth","","Fremantle","","","Protected Federal","HMC 98/4","Scuttled","48.00","44.00","1896","1178","Wooden","","","Shipwreck","Metro (Rottnest)"
"Eos","1935/03/26","Lacepede Islands","W.A. Chamberlain","Streeter & Male","","Cyclone","N","3.50","","","1207, 1048, 323","One of 24 luggers lost in this cyclone","NO","WA","","","","0.90","N","7/78, 3/79","N","N","","","11.10","","","","","117801","Fremantle","","Fremantle","","","Protected Federal","138/5, 125/3 McKenna Collection 682, WA  Maritime Museum.  British Reg of Ships, Bk 3:  125","Wrecked and sunk","12.48","15.50","1903","33","Wooden","Fisheries","pearling","Shipwreck","North West (Lacepedes Area)"
"Era","1928/07/16","15 miles S/W Dongara","","","","","N","4.40","","","1033, 33, A 752"," e Era was originally built as an 80-ft racing yacht for Alfred George Milson of North Shore, Sydney, at a cost of £5?000. Its poured lead keel weighed 23 tons. Its racing career lasted only a few years, and for a time it was laid up. A subsequent owner was Nicholas Johnson of Sydney. It was then purchased by Charles Nelson on behalf of Winter, Brandt & Co. of Geraldton, and sailed in full racing trim by Nelson to Fremantle. The voyage took only 21 days, which was considered to be a very fast passage at the time. One of the conditions of the sale was that the Era be taken out of eastern states waters, as Milson could not bear to see it converted into a fishing boat.
In Fremantle the vessel’s large counter stern was cut off, the interior stripped, and a 16?000?lb (7?273 kg) capacity icebox installed. The purchase cost of the Era is said to have been recovered from the sale of its luxury fittings. The ketch was then used as a mother ship to smaller fishing boats at Shark Bay, taking their catch to markets in Geraldton and Fremantle. The vessel retained much of its racing yacht speed after alteration—‘On a trip to [from] Shark Bay, skippered by Ben Green, the Era gave the State Ship Koolinda a start from the Carnarvon jetty and beat her to Geraldton by several hours’ (Cooper, 1996: 96). The 40 hp motor fitted in 1924 was seldom used. This engine only lasted three years, and for the next 23 years Era was worked without an engine. In 1950 a 40 hp Lister motor was installed.
Its great spread of canvas enabled the boat to often cover the distance from Fremantle to Geraldton in 23 hours. On a later voyage it was stated that on:
One trip from Red Bluff to Fremantle, a distance of approximately 600 miles, was completed in 68 hours, and on that occasion several periods of contrary winds were encountered, and occasionally the vessel was becalmed (Burns, 1978).
It should also be noted that this would probably have been with a full load of fish for the Fremantle market, collected from numerous other smaller boats working in the area.
The Era was the cause of considerable concern in October 1934 when a fisherman named Frank Money (also referred to as Mooney) came across what appeared to be a sunken vessel near Leander Reef, 9 miles south of Dongara and 7 miles offshore. Sticking up 3–4.6 m above the surface of the sea were two masts. Money could approach no closer than 100 m to the spars, but knew that the depth of water at that place was 6 m. A party of fishermen lead by George Travia subsequently made an extensive search of the beach for clues to the wreck, but without success. Later the party went to the site in a launch, and found that the ‘wreck’ was actually the mast and bowsprit from the Era. These had been snapped off and swept overboard some six weeks previously during a storm. Amazingly, both spars had then been caught on rocks 6 m underwater in such a way that they remained upright.
THE LOSS
On 16 July 1928 a strong southerly wind caused the Era to break its mooring and drift down Geraldton Harbour until it hit the viaduct. It was badly holed and sank quickly, a contributing factor being its very heavy lead keel.
INITIAL SALVAGE
After several weeks underwater the Era was raised, using drums filled with air. A refit was carried out on the slipway in Geraldton and it was launched back into the fishing fleet. Masts and rigging were replaced at this time. It finally sank on 28 April 1958 in South Passage, Shark Bay, where the lead keel remains.
Most sources state that Era was built in 1887. However Harry Akerstrom in a letter to Kerr states that it was built in 1883. He worked on the vessel a few years before it was finally wrecked in Shark Bay, and says that:
Era…was an 80 foot racing yacht type drawing about 11 ft of water, she had a lead keel, do not know exact tonnage of lead but it was a fair amount, beautiful fishing boat, do not know who she was built for, but do know she was built in 1883, as it was stamped on its rudder stock, a big brass plate holding the tiller. There was no wheels in those days (Kerr, 1988: 228).
If this date is correct, Era was 75 years old at the time it was finally lost. If 1887 is the correct date of building, Era was still an exceptionally old boat in 1958.
The Era as a specialist vessel was one of the forerunners of modern carrier boats, today used extensively in the rock lobster fishing industry along this section of the Western Australian coast.
The Era must have been exceptionally well designed and constructed to have had such a long working life, firstly as a racing yacht and later as a fishing craft. Though badly damaged against the viaduct at Geraldton and remaining underwater for several weeks in the harbour while salvage was organized, the owners obviously considered it valuable enough to warrant the financial outlay of having the boat repaired and put back into service.","NO","Australia","","","","434.00","40 hp fitted 1924","115/80","N","N","","","24.42","","","","","93587 Later fishing boat registration number G 11","Waterview Bay, Sydney, NSW","","","","","Protected Federal","Worsley, P. and J., with Totty, D., 2008. A Windswept Coast: WA Maritime Heritage between the Moore River and the Zuytdorp Cliffs. Special Publication No. 12. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.","","60.00","","1887","1186","","","","Shipwreck","Mid-West (Dongara)"
"Era","1958/05/29 (05/14 RD)","Shark Bay at South Passage","","","B. Spence","Sprang a leak","N","","","","1056","Co-ordinates 10' off","NO","","","","","","N","210/80","N","N","","","","","","","","","","","","","","Protected Federal","","","","","","1194","","Fisheries","","Shipwreck","Mid-West (Shark Bay)"
"Era","1928/07/16","Geraldton","","","","Broke adrift, went on rocks, broke in half","N","","","","","","NO","","","","","","N","117/80","N","N","","","","","","","","","","","","","","Protected Federal","","Wrecked and sunk","","","","1481","","Fisheries","","Shipwreck","Mid-West (Geraldton)"
"Erin's Isle","1901/01/17","Bunbury","","","","Bow to Bow collision with SS Coolgardie (Casualty)","N","","","","","Erin Castle figure-head sunk into the water
Co-ordinates 20' off","NO","","","","","","N","405/71","N","N","","","","","","","","","","","","","","Protected Federal","Geraldton Gazette 1901/01/18","Refloated","","","","185","","","","Shipwreck","SW Coast (Bunbury)"
"Escort","1903/10/18","Walpole, Nornalup Inlet","R. & H. Green of Blackwall, County of Middlesex","Thos Skinner (Also: Orient Steam Nav. Co. Ltd.)","","Beached","Y","3.84","","","AUS 758","The steam tug Escort was built by R. & H. Green of Blackwall, on the River Thames, UK, with one deck, a round stern and an engine by I. Stewart & Sons, also of Blackwall. The machinery space is stated as 21.21 tons, a large percentage of the gross tonnage, but to be expected in a tug. In 1888 it was owned by the Orient Steam Navigation Company and based at Diego Garcia. Originally registered as No. 1011/1884 in London, the tug was bought by the joint owners Alex Armstrong, senior and junior, and George Waters, all of Albany. It was registered at Fremantle in 1901 (No. 1/1901).
The Escort had departed Albany at 5.30 pm on 13 August 1903 with a cargo of supplies for settlers at Walpole (Marshall, 2001). Another reference states that it was carrying rails from Albany for Flinders Bay (McKenna, 1967). There were eight men on board, including Alex Armstrong, Clem Douglas, W. Nelson and A. Robeson. The tug, sometimes referred to as a launch, was not insured.
THE LOSS
On 15 August the Escort had arrived outside Nornalup Inlet when it was struck by heavy weather. It anchored with two anchors down in continuous rain and heavy squalls near the mouth of the inlet, and during the night two hour watches were maintained by the crew. At midnight the conditions worsened. The ship’s log reads:
Saturday August 16 – At 1 a.m. blowing south east gale, heavy rain squalls, parted port chain. Stood by engines and put man to wheel. At 3 a.m. the starboard chain parted, and took to dodging seas between Rocky point and the reefs, with seas getting heavier and squalls harder. At 10 a.m. wind and sea worse; concluded to put the ship on the beach to save the lives of the crew. 11 a.m. grounded on a sandy bottom, drew fires and opened everything to let her fill. Launch filled standing perfectly upright on even keel. Got on shore with all hands, clothes, sails and stores. Launch made fast with two head lines to the rocks. Made tent with sails and camped the night (quoted in MA 12/92).
Two of the crew, Douglas and Robeson, went for help, leaving the wreck on Monday 18 August and arriving at Denmark at 6.00 pm on the Wednesday after an arduous walk through the bush.
INITIAL SALVAGE
By Tuesday 19 August when the Escort had not returned to Albany as expected, the steam tug The Bruce departed that port to search the coast for the missing vessel. It arrived at Nornalup the following evening. Leaving four of the crew on the wreck The Bruce took two, Armstrong and Nelson, to Albany to collect the necessary equipment to refloat the Escort. However, it was not refloated, but it is apparent that the wreck was stripped.
SITE LOCATION
The wreck lies in Nornalup inlet some 100 m from the bar, on the eastern edge of the inlet. It lies close to rocks, with the steam dome of the boiler visible. Large swells are occasionally met with at this site.
SITE DESCRIPTION
In 1992 a wreck inspection by Dr M. McCarthy of the Department of Maritime Archaeology, Western Australian Museum, noted that the wreck of the Escort lies parallel to the shore, bows pointing southwards, in 2-2.5 m of water on a sandy bottom close to some rocks. The bow and mid-section are canted to port and the forecastle has collapsed, although the deck beams are visible. The most prominent features of the site are the engine and boiler near the middle of the hull. The engine appears to have been torn from its mounting and lies to port and aft of the boiler, whose dome breaks the surface in the swells. The stern has collapsed to starboard, and there is no propeller. Terry Swarbrick, a long-time resident of the district, stated in 1991 that the wreck had undergone very little change over the previous 60 years.","NO","UK","9","1991/07","","2.13","2-cylinder compound steam engine of 20 HP","2009/0111/SG _MA-12/92","Y","Y","-35.031512","","15.12","","116.743804","","","89597","Blackwall, Middlesex","Albany","Fremantle","","Aerial GIS","Protected Federal","Worsley P. & J. (in prep)  Wrecks of  the  South Coast.    Special Publication  Australian National Centre of Excellence for Maritime Archaeology, Fremantle
Marshall, G., de L., Memories of Maritime Albany, Les Douglas et. al., Maritime Museum Report: Special Report No 53, p. 121–122
McCarthy, M., Carpenter, J., Richards, V., 1992,
Steam Tug Escort, Unpublished Wreck Inspection Report,  Department of Maritime Archaeology, Western Australian Maritime Museum. No.99.
McKenna Collection 681, WA  Maritime Museum
Merchant Navy List 1909","Wrecked above water","27.85","6.84","1884","195","Clinker","Transport","cargo - coastal","Shipwreck","S Coast (Walpole)"
"Esta","1920/02/10","Off Gautheaume Point, Broome area","","J.T.C. Mackenzie, Broome","Captain Tujinoto","Struck reef and sunk","N","","","","1207, 1048","Co-ordinates 5' box","NO","","4","","","","N","3/79","N","N","","","","","","","","131668","","","Fremantle","","","Protected Federal","Possibly Nor-West Echo 1920/02/28, p. 1a and p. 8a","Wrecked and sunk","12.00","","1892","424","Wooden","Fisheries","pearling","Shipwreck","North West (Broome Area)"
"Ethel","1878/03/04","Forestier Islands","","","","","N","","","Shell","","","NO","Unknown","","","1","","N","","N","N","","","","","","","","","","","","","","Protected Federal","","Unknown","14.00","","","196","Wooden","","","Shipwreck","North West (Port Hedland Area)"
"Ethel","1887/04/22","Off Eighty Mile Beach","","","","Cyclone","N","3.60","","","1048","","NO","WA","","","","1.80","N","116/80","N","N","","","13.40","","","","","61099","Perth","","Fremantle","","","Protected Federal","West Australian, 29 April 1887, pp. 2f, 3a, b
CSO 3841/1887","Wrecked and sunk","14.00","","F1870","197","Comp.","Fisheries","pearling","Shipwreck","North West (Eighty Mile Beach Area)"
"Ettica","1931/04/29","Broome area, Willy-Willy near Banningarra","Chas. Walker","Ancell Clement Gregory","","Lost in Willy-Willy","N","3.50","","","1207, 1048","","NO","WA","","","2","1.60","N","3/79","N","N","-20.0333333333","","11.60","","119.6833333333","","","125035","East Fremantle","","Fremantle","","","Protected Federal","McKenna Collection 684, WA  Maritime Museum","Wrecked and sunk","12.86","15.36","1910","532","Carvel","Fisheries","pearling","Shipwreck","North West (Eighty Mile Beach Area)"
"Ettie","1893/13/02","Flying Foam Passage, Dampier Archipelago","","Sam Ramy Samy, pearler of Roebourne","","Blown onto rocks","N","4.70","","Pearl shell","327","","NO","WA","","","","2.30","N","4/79","N","N","","","14.90","","","","","95369","Fremantle","","Fremantle","","","Protected Federal","West Australian, 17 February 1893, p. 6c
Inquirer, 17 February 1893, p. 23a","Wrecked and sunk","13.00","","1888","199","Wooden","Fisheries","pearling","Shipwreck","North West (Dampier Area)"
"Ettie","1896/10/09","Off Black Islands, Esperance in channel","","John Richard Conolly","George Osborne","Struck rocks, drifted","N","5.60","","Sheep","","Co-ordinates 1' off group","NO","NSW","5","","2","1.70","N","69/72","N","N","","","20.60","","","","","74935","Brisbane Water","","Sydney","","","Protected Federal","Esperance Chroninicle, 16 September 1896, p. 3e
Inquirer, 18 September 1896, p. 9g
West Australian, 16 September 1896, p. 2a and 17 September 1896, p. 4a","Wrecked and sunk","44.44","","1877","200","Comp.","Transport","cargo - coastal","Shipwreck","S Coast (Esperance)"
"Eucla","1884/14/06","Swan River","","Randall, Knight & Company","","Foundered","N","","","Stone","","Wreck destroyed by explosives in 1888","NO","Unknown","","","","","N","376/77","N","N","","","","","","","","","","","","","","Protected State","Inquirer, 18 June 1884, p. 5a
Inquirer, 7 March 1888, p. 3e
West Australian, 6 August 1888, p. 3c","Foundered","40.00","","","201","Wooden","Transport","port services","Shipwreck","Metro (Swan R)"
